platform,name,price,price_num,currency,location,rating,sold,details_link
Amazon,Dell,$524.98,525,USD,Online,,"Overall Pick


Dell
Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black
Options:
5 capacities
665
2K+ bought in past month
$524
98
Delivery Thu, Sep 18
Ships to Indonesia
Only 13 left in stock - order soon.
Add to cart
More Buying Choices
$424.49(13+ used & new offers)",https://www.amazon.com/dp/B0CTPCTW66
Amazon,Dell,$440.00,440,USD,Online,,"Dell
Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black
Options:
8 capacities
1,223
50+ bought in past month
$440
00
Delivery Fri, Sep 19
Ships to Indonesia
Only 7 left in stock - order soon.
Add to cart
More Buying Choices
$300.00(5+ used & new offers)",https://www.amazon.com/dp/B0B338HW3T
Amazon,"2 in 1 Laptop Computer, 15.6 Inch Convertible Laptop, 16GB DDR4 RAM 512GB SSD Touchscreen Laptop, AMD Ryzen R3 3200U, AMD Radeon, FHD 1920x1080, 360° Rotating Touch Screen, WiFi 5, Backlit Keyboard",$389.99,390,USD,Online,,"Sponsored
2 in 1 Laptop Computer, 15.6 Inch Convertible Laptop, 16GB DDR4 RAM 512GB SSD Touchscreen Laptop, AMD Ryzen R3 3200U, AMD Radeon, FHD 1920x1080, 360° Rotating Touch Screen, WiFi 5, Backlit Keyboard
11
50+ bought in past month
$389
99
15% off promotion available
Delivery Wed, Sep 17
Ships to Indonesia
Add to cart",https://www.amazon.com/dp/B0FC2FWGF2
